,mse_mean,mse_std,mse_consistency,r2_mean,r2_std,r2_consistency,mse_rank,r2_rank,consistency_rank,overall_score
Linear Regression,455280431.76056576,0.0,1.0,0.2326445060510437,0.0,1.0,6.0,6.0,1.5,4.5
SVR,358919888.80923307,5.960464477539063e-08,0.9999999403953588,0.395056037220247,5.551115123125783e-17,1.0,2.0,2.0,3.0,2.3333333333333335
Random Forest,875246828.3277566,8015119.450573006,1.2476418865651725e-07,-0.47519070758550463,0.013509137480982042,0.9866709268013525,7.0,7.0,5.0,6.333333333333333
CNN,427898296.2249991,11201902.23480435,8.927054439222405e-08,0.2787959122470436,0.018880322155108136,0.9814695389197693,5.0,5.0,6.0,5.333333333333333
Neural-SVR Hybrid,386829866.7743841,829536.5525184268,1.2054909352374216e-06,0.34801497541854837,0.0013981480129619465,0.9986038040755956,4.0,4.0,4.0,4.0
CNN-SVR Hybrid,383429530.5856321,62897038.533940606,1.5898999498384633e-08,0.35374609512782795,0.10601024051374344,0.9041507604265023,3.0,3.0,7.0,4.333333333333333
Hybrid Model (Linear + SVR),264727063.24015597,0.0,1.0,0.5538139744140405,0.0,1.0,1.0,1.0,1.5,1.1666666666666667
