,mse_mean,mse_std,mse_consistency,r2_mean,r2_std,r2_consistency,mse_rank,r2_rank,consistency_rank,overall_score
Linear Regression,1688502826.4622269,0.0,1.0,-3.9888617271604994,4.440892098500626e-16,0.9999999999999996,7.0,7.0,1.0,5.0
SVR,1338581134.8922668,2.384185791015625e-07,0.9999997615814777,-2.9549807604141956,0.0,1.0,6.0,6.0,3.0,5.0
Random Forest,832323463.3458116,7247459.040328129,1.3797937407526912e-07,-1.4591884631923568,0.021413390880258103,0.9790355295207126,4.0,4.0,5.0,4.333333333333333
CNN,968006895.9164194,64645576.50856256,1.546896227924557e-08,-1.8600796391814012,0.19100225206582347,0.8396289748952823,5.0,5.0,7.0,5.666666666666667
Neural-SVR Hybrid,307656945.6147774,403265.77091061196,2.479748077784618e-06,0.09099473390369348,0.0011914917398066066,0.9988099262232681,3.0,3.0,4.0,3.3333333333333335
CNN-SVR Hybrid,168683754.60462645,9482765.888341788,1.0545445351286768e-07,0.5016058521477514,0.02801784342114027,0.9727457615639242,1.0,1.0,6.0,2.6666666666666665
Hybrid Model (Linear + SVR),178807048.65281522,2.9802322387695312e-08,0.9999999701976785,0.47169549994797666,0.0,1.0,2.0,2.0,2.0,2.0
