,mse_mean,mse_std,mse_consistency,r2_mean,r2_std,r2_consistency,mse_rank,r2_rank,consistency_rank,overall_score
Linear Regression,1669020787.3293214,2.384185791015625e-07,0.9999997615814777,-24.335997402560324,0.0,1.0,7.0,7.0,3.0,5.666666666666667
SVR,214133855.70031655,2.9802322387695312e-08,0.9999999701976785,-2.2505855247643245,0.0,1.0,2.0,2.0,2.0,2.0
Random Forest,91438197.78136936,2310391.9612662015,4.328268033901705e-07,-0.388046187963061,0.035072112446965426,0.9661162618283153,1.0,1.0,5.0,2.3333333333333335
CNN,872844190.9871644,121898250.44892143,8.203563120173436e-09,-12.249911758784577,1.8504345663018598,0.35082369959377646,6.0,6.0,6.0,6.0
Neural-SVR Hybrid,340065959.8022427,415535.71872000507,2.406526198407547e-06,-4.1622546223858174,0.006307897403127919,0.9937316427512832,5.0,5.0,4.0,4.666666666666667
CNN-SVR Hybrid,283449868.79066604,328648822.55745864,3.0427615385185367e-09,-3.3028134783916108,4.988940687787442,0.16697443707184895,4.0,4.0,7.0,5.0
Hybrid Model (Linear + SVR),240314572.35891145,0.0,1.0,-2.648012911106665,4.440892098500626e-16,0.9999999999999996,3.0,3.0,1.0,2.3333333333333335
