,mse_mean,mse_std,mse_consistency,r2_mean,r2_std,r2_consistency,mse_rank,r2_rank,consistency_rank,overall_score
Linear Regression,457270881.7841815,0.0,1.0,0.2310561009909571,2.7755575615628914e-17,1.0,6.0,6.0,1.5,4.5
SVR,378015775.95000917,0.0,1.0,0.3643309989217333,5.551115123125783e-17,1.0,3.0,3.0,1.5,2.5
Random Forest,870773817.826192,8976398.972585829,1.1140323549017728e-07,-0.4642878899738964,0.01509465723710484,0.985129803285351,7.0,7.0,5.0,6.333333333333333
CNN,434291871.9863024,12648883.162641346,7.905835701725483e-08,0.26969746236608977,0.021270284036545743,0.979172718163819,5.0,5.0,6.0,5.333333333333333
Neural-SVR Hybrid,389446985.53559834,839271.9762211515,1.1915074455304471e-06,0.34510834727412376,0.0014113145871140493,0.9985906744146427,4.0,4.0,4.0,4.0
CNN-SVR Hybrid,377870538.0851667,35892989.66342629,2.7860592876674534e-08,0.3645752300209013,0.06035743039486283,0.9430782218667657,2.0,2.0,7.0,3.6666666666666665
Hybrid Model (Linear + SVR),267488226.15638703,2.9802322387695312e-08,0.9999999701976785,0.5501934460441296,0.0,1.0,1.0,1.0,3.0,1.6666666666666667
