,mse_mean,mse_std,mse_consistency,r2_mean,r2_std,r2_consistency,mse_rank,r2_rank,consistency_rank,overall_score
Linear Regression,453752837.85344636,0.0,1.0,0.2313677313118366,2.7755575615628914e-17,1.0,6.0,6.0,1.5,4.5
SVR,359231983.18548554,5.960464477539063e-08,0.9999999403953588,0.39148084334320216,5.551115123125783e-17,1.0,2.0,2.0,3.0,2.3333333333333335
Random Forest,870356180.992435,8857425.110175401,1.1289961525631031e-07,-0.4743353432845089,0.015003989373105599,0.9852178025601924,7.0,7.0,5.0,6.333333333333333
CNN,427635280.90797997,12544794.64450612,7.97143316111284e-08,0.27560943157877776,0.021250189890709065,0.9791919843922053,5.0,5.0,6.0,5.333333333333333
Neural-SVR Hybrid,394526353.3473067,1046067.8392238029,9.559600310262692e-07,0.3316941278755131,0.0017719811963446354,0.9982311531669827,4.0,4.0,4.0,4.0
CNN-SVR Hybrid,387095257.8572064,61446678.062514044,1.6274272511662174e-08,0.3442819935788213,0.1040872819351837,0.9057254950417097,3.0,3.0,7.0,4.333333333333333
Hybrid Model (Linear + SVR),264662402.3171871,0.0,1.0,0.5516764948691684,0.0,1.0,1.0,1.0,1.5,1.1666666666666667
