,mse_mean,mse_std,mse_consistency,r2_mean,r2_std,r2_consistency,mse_rank,r2_rank,consistency_rank,overall_score
Linear Regression,457270881.7841815,0.0,1.0,0.23105610099095708,0.0,1.0,6.0,6.0,1.0,4.333333333333333
SVR,378015775.9500092,5.960464477539063e-08,0.9999999403953588,0.3643309989217333,5.551115123125783e-17,1.0,3.0,3.0,3.0,3.0
Random Forest,870822370.3821955,8751670.769200742,1.1426388310393938e-07,-0.464369535653093,0.014716755674131969,0.9854966860536813,7.0,7.0,5.0,6.333333333333333
CNN,438400442.739446,18971883.22313074,5.270957740616973e-08,0.26278851508750956,0.03190300200226539,0.969083332502801,5.0,5.0,6.0,5.333333333333333
Neural-SVR Hybrid,389955408.1545668,823430.1737032675,1.2144305825860815e-06,0.34425338692884966,0.0013846751095511953,0.9986172395644064,4.0,4.0,4.0,4.0
CNN-SVR Hybrid,369641747.9689284,44274052.458789274,2.258659241424122e-08,0.3784127128088251,0.07445097398233247,0.9307078910204826,2.0,2.0,7.0,3.6666666666666665
Hybrid Model (Linear + SVR),267488226.15638703,2.9802322387695312e-08,0.9999999701976785,0.5501934460441296,0.0,1.0,1.0,1.0,2.0,1.3333333333333333
