,mse_mean,mse_std,mse_consistency,r2_mean,r2_std,r2_consistency,mse_rank,r2_rank,consistency_rank,overall_score
Linear Regression,455280431.76056576,0.0,1.0,0.23264450605104367,2.7755575615628914e-17,1.0,6.0,6.0,1.0,4.333333333333333
SVR,358919888.80923307,5.960464477539063e-08,0.9999999403953588,0.395056037220247,5.551115123125783e-17,1.0,2.0,2.0,3.0,2.3333333333333335
Random Forest,876801351.5390017,8924513.256008374,1.1205091630917125e-07,-0.4778107892832993,0.015041881442907827,0.9851810238396022,7.0,7.0,5.0,6.333333333333333
CNN,430266619.13785934,15503647.18008588,6.450094767272129e-08,0.2748042063184561,0.026130727371436284,0.9745346994545487,5.0,5.0,6.0,5.333333333333333
Neural-SVR Hybrid,386688356.3925936,737057.8798422868,1.3567437111862438e-06,0.3482534850520455,0.0012422792063964477,0.998759262136452,3.0,3.0,4.0,3.3333333333333335
CNN-SVR Hybrid,401771630.78415346,64735736.90443467,1.5447417954457206e-08,0.32283127785033133,0.10910928716254743,0.9016244039920687,4.0,4.0,7.0,5.0
Hybrid Model (Linear + SVR),264727063.240156,2.9802322387695312e-08,0.9999999701976785,0.5538139744140406,1.1102230246251565e-16,1.0,1.0,1.0,2.0,1.3333333333333333
