,mse_mean,mse_std,mse_consistency,r2_mean,r2_std,r2_consistency,mse_rank,r2_rank,consistency_rank,overall_score
Linear Regression,453752837.85344636,0.0,1.0,0.2313677313118366,2.7755575615628914e-17,1.0,6.0,6.0,1.0,4.333333333333333
SVR,359231983.18548554,5.960464477539063e-08,0.9999999403953588,0.39148084334320216,5.551115123125783e-17,1.0,2.0,2.0,3.0,2.3333333333333335
Random Forest,869882270.2728422,8876852.856502764,1.1265252488835864e-07,-0.4735325646764908,0.015036898903337393,0.9851858598248168,7.0,7.0,5.0,6.333333333333333
CNN,426723232.2382084,10761156.464814395,9.292680673707136e-08,0.2771543916974117,0.018228805237643676,0.9820975353045633,5.0,5.0,6.0,5.333333333333333
Neural-SVR Hybrid,394429012.7210239,829656.8337978856,1.2053161668134285e-06,0.33185901752506164,0.001405392894976623,0.9985965794622758,3.0,3.0,4.0,3.3333333333333335
CNN-SVR Hybrid,396157548.8156721,65784670.81543727,1.5201109504742354e-08,0.3289309727634596,0.11143560228289934,0.8997372388881466,4.0,4.0,7.0,5.0
Hybrid Model (Linear + SVR),264662402.31718713,2.9802322387695312e-08,0.9999999701976785,0.5516764948691684,0.0,1.0,1.0,1.0,2.0,1.3333333333333333
