,mse_mean,mse_std,mse_consistency,r2_mean,r2_std,r2_consistency,mse_rank,r2_rank,consistency_rank,overall_score
Linear Regression,1669020787.3293214,2.384185791015625e-07,0.9999997615814777,-24.335997402560327,3.552713678800501e-15,0.9999999999999964,7.0,7.0,3.0,5.666666666666667
SVR,214133855.70031655,2.9802322387695312e-08,0.9999999701976785,-2.2505855247643245,0.0,1.0,2.0,2.0,2.0,2.0
Random Forest,91423084.89119682,2298857.5881992844,4.349984836532762e-07,-0.38781677191919656,0.03489701885419407,0.966279718446932,1.0,1.0,5.0,2.3333333333333335
CNN,879250750.5062611,130135582.19522636,7.684293376545779e-09,-12.34716433740279,1.9754785545570102,0.33608039233503406,6.0,6.0,6.0,6.0
Neural-SVR Hybrid,340234130.8207598,794779.1496057495,1.258209582229815e-06,-4.164807484831079,0.012064872183073243,0.9880789537166242,5.0,5.0,4.0,4.666666666666667
CNN-SVR Hybrid,265936037.86614203,325902806.9069478,3.068399460631592e-09,-3.036950777230976,4.947255739393204,0.1681447786709824,4.0,4.0,7.0,5.0
Hybrid Model (Linear + SVR),240314572.35891145,0.0,1.0,-2.6480129111066644,8.881784197001252e-16,0.9999999999999991,3.0,3.0,1.0,2.3333333333333335
