,mse_mean,mse_std,mse_consistency,r2_mean,r2_std,r2_consistency,mse_rank,r2_rank,consistency_rank,overall_score
Linear Regression,1688502826.4622269,0.0,1.0,-3.9888617271604994,4.440892098500626e-16,0.9999999999999996,7.0,7.0,1.0,5.0
SVR,1338581134.8922668,2.384185791015625e-07,0.9999997615814777,-2.9549807604141956,0.0,1.0,6.0,6.0,3.0,5.0
Random Forest,832323463.3458116,7247459.040328129,1.3797937407526912e-07,-1.4591884631923568,0.021413390880258103,0.9790355295207126,4.0,4.0,5.0,4.333333333333333
CNN,923948552.8347168,47894320.57426076,2.087930191159483e-08,-1.7299045644834556,0.14150887941473655,0.8760334834300285,5.0,5.0,7.0,5.666666666666667
Neural-SVR Hybrid,307525829.62796795,461615.43854647945,2.1663006697698256e-06,0.09138213007393424,0.0013638920574720664,0.9986379656104138,3.0,3.0,4.0,3.3333333333333335
CNN-SVR Hybrid,173393717.39672878,25489437.99996052,3.923193444946156e-08,0.487689764628312,0.07531126373727648,0.9299632894427888,1.0,1.0,6.0,2.6666666666666665
Hybrid Model (Linear + SVR),178807048.65281522,2.9802322387695312e-08,0.9999999701976785,0.47169549994797666,0.0,1.0,2.0,2.0,2.0,2.0
