,mse_mean,mse_std,mse_consistency,r2_mean,r2_std,r2_consistency,mse_rank,r2_rank,consistency_rank,overall_score
Linear Regression,457270881.7841815,0.0,1.0,0.23105610099095708,0.0,1.0,5.0,5.0,1.0,3.6666666666666665
SVR,378015775.9500092,5.960464477539063e-08,0.9999999403953588,0.3643309989217333,5.551115123125783e-17,1.0,2.0,2.0,2.0,2.0
Random Forest,870822370.3821955,8751670.769200742,1.1426388310393938e-07,-0.464369535653093,0.014716755674131969,0.9854966860536813,6.0,6.0,4.0,5.333333333333333
CNN,437311847.7418705,19128861.395924736,5.227702407504603e-08,0.2646190897320428,0.032166975530989884,0.9688354924217161,4.0,4.0,5.0,4.333333333333333
Neural-SVR Hybrid,389497154.97791874,847794.8246499,1.1795292816085209e-06,0.345023982648853,0.0014256465565495292,0.9985763830180987,3.0,3.0,3.0,3.0
CNN-SVR Hybrid,377575824.88734865,32238705.622612767,3.101861410589541e-08,0.3650708179195566,0.054212408854313734,0.9485754403960867,1.0,1.0,6.0,2.6666666666666665
