,mse_mean,mse_std,mse_consistency,r2_mean,r2_std,r2_consistency,mse_rank,r2_rank,consistency_rank,overall_score
Linear Regression,1669020787.3293214,2.384185791015625e-07,0.9999997615814777,-24.335997402560327,3.552713678800501e-15,0.9999999999999964,6.0,6.0,2.0,4.666666666666667
SVR,214133855.70031655,2.9802322387695312e-08,0.9999999701976785,-2.2505855247643245,0.0,1.0,3.0,3.0,1.0,2.3333333333333335
Random Forest,91423084.89119682,2298857.5881992844,4.349984836532762e-07,-0.38781677191919656,0.03489701885419407,0.966279718446932,1.0,1.0,4.0,2.0
CNN,813167366.645534,141162782.27677035,7.084020141763238e-09,-11.344008202644948,2.142873181840574,0.31818019440872436,5.0,5.0,5.0,5.0
Neural-SVR Hybrid,340116660.317278,400648.28660821007,2.4959485351034393e-06,-4.163024264158402,0.006081903847997347,0.9939548620994616,4.0,4.0,3.0,3.6666666666666665
CNN-SVR Hybrid,200581830.41229624,255582044.27319828,3.9126379121470526e-09,-2.044863654729302,3.879775530063016,0.20492745902742093,2.0,2.0,6.0,3.3333333333333335
