,mse_mean,mse_std,mse_consistency,r2_mean,r2_std,r2_consistency,mse_rank,r2_rank,consistency_rank,overall_score
Linear Regression,453752837.85344636,0.0,1.0,0.2313677313118366,2.7755575615628914e-17,1.0,5.0,5.0,1.0,3.6666666666666665
SVR,359231983.18548554,5.960464477539063e-08,0.9999999403953588,0.39148084334320216,5.551115123125783e-17,1.0,1.0,1.0,2.0,1.3333333333333333
Random Forest,869882270.2728422,8876852.856502764,1.1265252488835864e-07,-0.4735325646764908,0.015036898903337393,0.9851858598248168,6.0,6.0,4.0,5.333333333333333
CNN,436155155.7405157,33832500.54967919,2.9557376906688778e-08,0.2611772337495572,0.05731038901247047,0.945796059881717,4.0,4.0,5.0,4.333333333333333
Neural-SVR Hybrid,394233130.4390135,764133.9913769503,1.3086692944109618e-06,0.33219083130176374,0.0012944008155459917,0.9987072724919946,3.0,3.0,3.0,3.0
CNN-SVR Hybrid,378804388.80662334,58246400.10027052,1.7168442703927946e-08,0.35832626825023256,0.09866618766238834,0.9101945715901946,2.0,2.0,6.0,3.3333333333333335
