,mse_mean,mse_std,mse_consistency,r2_mean,r2_std,r2_consistency,mse_rank,r2_rank,consistency_rank,overall_score
Linear Regression,1688502826.4622269,0.0,1.0,-3.9888617271604994,4.440892098500626e-16,0.9999999999999996,6.0,6.0,1.0,4.333333333333333
SVR,1338581134.8922668,2.384185791015625e-07,0.9999997615814777,-2.9549807604141956,0.0,1.0,5.0,5.0,2.0,4.0
Random Forest,832323463.3458116,7247459.040328129,1.3797937407526912e-07,-1.4591884631923568,0.021413390880258103,0.9790355295207126,3.0,3.0,5.0,3.6666666666666665
CNN,964880495.4974239,94228773.19752882,1.0612469582844529e-08,-1.8508423556248288,0.2784089625644195,0.7822223007526902,4.0,4.0,6.0,4.666666666666667
Neural-SVR Hybrid,307597926.1411037,441644.1617084555,2.2642611913410544e-06,0.09116911323475121,0.0013048847895549857,0.9986968157157955,2.0,2.0,3.0,2.3333333333333335
CNN-SVR Hybrid,165381265.04407758,1489543.6149278416,6.713461214778339e-07,0.511363409857909,0.0044010155120791684,0.9956182685559757,1.0,1.0,4.0,2.0
