,mse_mean,mse_std,mse_consistency,r2_mean,r2_std,r2_consistency,mse_rank,r2_rank,consistency_rank,overall_score
Linear Regression,455280431.7605657,5.960464477539063e-08,0.9999999403953588,0.2326445060510437,0.0,1.0,5.0,5.0,1.5,3.8333333333333335
SVR,358919888.80923307,5.960464477539063e-08,0.9999999403953588,0.395056037220247,5.551115123125783e-17,1.0,1.0,1.0,1.5,1.1666666666666667
Random Forest,877074180.8873745,9074699.104382703,1.101964790568717e-07,-0.478270631360357,0.015295013200444102,0.9849354000545805,6.0,6.0,4.0,5.333333333333333
CNN,429352308.70236063,17046897.651018087,5.8661696797280914e-08,0.2763452370478941,0.02873180935255671,0.9720706513676879,4.0,4.0,5.0,4.333333333333333
Neural-SVR Hybrid,386849672.31937104,769395.6273168671,1.2997197602585298e-06,0.34798159402831885,0.0012967830823715023,0.9987048963860848,2.0,2.0,3.0,2.3333333333333335
CNN-SVR Hybrid,403693705.2861184,49883062.58167004,2.0046884216779713e-08,0.3195917043348202,0.08407574641199325,0.9224447676370753,3.0,3.0,6.0,4.0
